INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,NON-,TOTAL MINORITY
,,,,,,,,,,,RESIDENT FOREIGN,
Ashford U.California,"51,237","36,116",482,645,"18,727","4,792",405,"23,596","1,539",955,96,"26,590"
California State U. at NorthridgeCalifornia,"40,131","22,133",65,"4,379","2,166","15,855",92,"10,379","1,289","2,400","3,506","23,846"
U. of Southern CaliforniaCalifornia,"42,453","22,112",73,"7,696","2,238","5,286",104,"13,922","1,380","2,045","9,709","16,777"
U. of California at Los AngelesCalifornia,"41,845","22,106",66,"11,257","1,229","7,066",114,"12,824","1,825","1,042","6,422","21,557"
California State U. at FullertonCalifornia,"38,128","21,162",68,"7,905",813,"13,722",75,"9,485","1,527","1,603","2,930","24,110"
California State U. at Long BeachCalifornia,"36,809","20,989",213,"8,091","1,443","13,293",158,"7,722","1,636","1,611","2,642","24,834"
U. of California at DavisCalifornia,"34,508","19,508",78,"10,377",705,"5,697",145,"11,398","1,715",823,"3,570","18,717"
U. of California at BerkeleyCalifornia,"37,565","18,851",79,"11,172",886,"4,529",81,"11,519","1,566","1,655","6,078","18,313"
San Diego State U.California,"33,483","18,661",87,"4,183","1,162","9,783",81,"11,723","1,977","2,103","2,384","17,273"
East Los Angeles CollegeCalifornia,"36,012","17,706",67,"3,461","1,476","24,235",62,"2,320",126,"3,552",713,"29,427"
San Francisco State U.California,"29,465","16,905",65,"7,888","1,378","6,737",186,"6,960","1,588","2,426","2,237","17,842"
California State U. at SacramentoCalifornia,"29,349","16,743",126,"5,910","1,608","7,794",248,"9,165","1,785","1,919",794,"17,471"
San Jose State U.California,"32,713","16,238",44,"10,381","1,029","7,407",242,"7,112","1,559","1,359","3,580","20,662"
Santa Monica CollegeCalifornia,"30,158","15,818",55,"3,095","2,743","11,564",73,"7,732","1,190",379,"3,327","18,720"
American River CollegeCalifornia,"29,133","15,759",227,"3,095","3,014","6,034",259,"13,524","1,707","1,118",155,"14,336"
U. of California at IrvineCalifornia,"30,051","15,558",24,"10,872",545,"6,454",114,"5,971","1,190",656,"4,225","19,199"
Mt. San Antonio CollegeCalifornia,"29,045","14,944",50,"5,040","1,263","17,451",82,"3,504",859,299,497,"24,745"
California State U. at Los AngelesCalifornia,"24,488","14,269",26,"3,748","1,041","13,881",70,"2,215",433,"1,078","1,996","19,199"
