State | Type,Full-time faculty,White,Black,Hispanic,Asian,American Indian,Pacific Islander,Two or more,Unknown,Non-resident,Total minority,Female
Academy of Art U.California | Special-Focus,274,65.70%,1.10%,6.20%,5.50%,N/A,1.50%,2.90%,17.20%,N/A,14.20%,38.70%
Advanced CollegeCalifornia | Associate,4,N/A,75.00%,25.00%,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,75.00%
Allan Hancock CollegeCalifornia | Associate,145,72.40%,1.40%,13.10%,5.50%,2.10%,N/A,N/A,0.70%,4.80%,24.80%,53.80%
Alliant International U. at San DiegoCalifornia | Doctoral,180,48.90%,6.10%,5.00%,10.60%,N/A,N/A,1.10%,27.20%,1.10%,22.80%,53.90%
Allied American U.California | Unclassified,17,70.60%,5.90%,11.80%,5.90%,N/A,N/A,N/A,5.90%,N/A,23.50%,47.10%
American Academy of Dramatic Arts at Los AngelesCalifornia | Associate,8,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%
American Conservatory TheaterCalifornia | Special-Focus,6,66.70%,16.70%,16.70%,N/A,N/A,N/A,N/A,N/A,N/A,33.30%,50.00%
American Film Institute ConservatoryCalifornia | Special-Focus,11,90.90%,9.10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.10%,18.20%
American Jewish U.California | Baccaluareate,15,93.30%,6.70%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.70%,40.00%
American River CollegeCalifornia | Associate,388,62.10%,5.10%,11.90%,8.30%,1.30%,0.50%,2.60%,6.70%,1.60%,27.30%,55.70%
American U. of Health SciencesCalifornia | Associate,31,22.60%,38.70%,6.50%,29.00%,N/A,N/A,3.20%,N/A,N/A,74.20%,58.10%
Antelope Valley CollegeCalifornia | Associate,183,73.20%,7.60%,8.20%,5.50%,0.50%,1.10%,N/A,3.80%,N/A,22.40%,48.60%
Antioch U. at Los AngelesCalifornia | Master's,32,81.30%,6.30%,3.10%,9.40%,N/A,N/A,N/A,N/A,N/A,18.80%,53.10%
Antioch U. at Santa Barbara (Calif.)California | Master's,10,80.00%,N/A,20.00%,N/A,N/A,N/A,N/A,N/A,N/A,20.00%,70.00%
Argosy U. San Francisco Bay AreaCalifornia | Special-Focus,9,77.80%,11.10%,N/A,N/A,N/A,N/A,11.10%,N/A,N/A,11.10%,55.60%
Argosy U.-Orange CountyCalifornia | Doctoral,7,71.40%,N/A,N/A,28.60%,N/A,N/A,N/A,N/A,N/A,28.60%,28.60%
Art Center College of DesignCalifornia | Special-Focus,100,78.00%,1.00%,8.00%,6.00%,N/A,N/A,2.00%,2.00%,3.00%,18.00%,28.00%
Art Institute of California at Los AngelesCalifornia | Special-Focus,40,65.00%,5.00%,15.00%,10.00%,N/A,N/A,2.50%,2.50%,N/A,30.00%,17.50%
Art Institute of California at SacramentoCalifornia | Special-Focus,16,81.30%,6.30%,N/A,N/A,N/A,N/A,N/A,12.50%,N/A,6.30%,43.80%
Art Institute of California at San DiegoCalifornia | Special-Focus,33,69.70%,9.10%,9.10%,12.10%,N/A,N/A,N/A,N/A,N/A,30.30%,36.40%
Art Institute of California at San FranciscoCalifornia | Special-Focus,26,84.60%,N/A,N/A,7.70%,N/A,N/A,N/A,7.70%,N/A,7.70%,50.00%
Art Institute of California-HollywoodCalifornia | Special-Focus,26,73.10%,N/A,N/A,11.50%,N/A,N/A,N/A,15.40%,N/A,11.50%,46.20%
Art Institute of California-Inland EmpireCalifornia | Special-Focus,44,63.60%,6.80%,11.40%,13.60%,N/A,N/A,N/A,4.50%,N/A,31.80%,45.50%
Art Institute of California-Orange CountyCalifornia | Special-Focus,38,73.70%,5.30%,5.30%,7.90%,2.60%,N/A,2.60%,2.60%,N/A,18.40%,26.30%
Art Institute of California-Silicon ValleyCalifornia | Special-Focus,11,63.60%,9.10%,N/A,N/A,N/A,N/A,18.20%,9.10%,N/A,9.10%,27.30%
Azusa Pacific Online U.California | Unclassified,6,83.30%,N/A,N/A,16.70%,N/A,N/A,N/A,N/A,N/A,16.70%,33.30%
Azusa Pacific U.California | Doctoral,433,67.40%,6.00%,6.00%,13.90%,0.70%,0.50%,0.20%,4.20%,1.10%,27.50%,52.90%
Bakersfield CollegeCalifornia | Associate,249,75.10%,4.00%,10.00%,4.40%,0.80%,0.40%,N/A,5.20%,N/A,18.90%,48.60%
Barstow Community CollegeCalifornia | Associate,37,70.30%,5.40%,10.80%,2.70%,N/A,2.70%,N/A,8.10%,N/A,21.60%,43.20%
Berkeley City CollegeCalifornia | Associate,56,50.00%,8.90%,14.30%,16.10%,N/A,N/A,3.60%,7.10%,N/A,39.30%,44.60%
Bethel Seminary at San DiegoCalifornia | Special-Focus,5,80.00%,N/A,N/A,20.00%,N/A,N/A,N/A,N/A,N/A,20.00%,N/A
Biola U.California | Doctoral,254,82.30%,2.40%,5.50%,9.10%,0.40%,N/A,N/A,N/A,0.40%,17.30%,35.00%
Brandman U.California | Master's,70,67.10%,8.60%,4.30%,2.90%,N/A,1.40%,N/A,15.70%,N/A,17.10%,62.90%
Bryan College (Calif.)California | Associate,8,50.00%,N/A,25.00%,N/A,N/A,N/A,25.00%,N/A,N/A,25.00%,37.50%
Bryan U. at Los AngelesCalifornia | Associate,30,83.30%,3.30%,6.70%,3.30%,N/A,3.30%,N/A,N/A,N/A,16.70%,53.30%
Butte CollegeCalifornia | Associate,179,89.90%,0.60%,4.50%,3.90%,1.10%,N/A,N/A,N/A,N/A,8.90%,53.60%
Cabrillo CollegeCalifornia | Associate,207,76.30%,1.50%,12.10%,2.90%,N/A,N/A,0.50%,1.90%,4.80%,21.30%,53.10%
Cal State Maritime AcademyCalifornia | Baccaluareate,59,81.40%,1.70%,6.80%,8.50%,N/A,N/A,N/A,1.70%,N/A,17.00%,18.60%
California Baptist U.California | Master's,254,73.20%,2.80%,6.70%,9.40%,N/A,0.40%,2.00%,5.50%,N/A,19.30%,46.10%
California College of the ArtsCalifornia | Special-Focus,91,76.90%,4.40%,6.60%,7.70%,N/A,N/A,2.20%,N/A,2.20%,20.90%,47.30%
California College San DiegoCalifornia | Unclassified,3,66.70%,N/A,33.30%,N/A,N/A,N/A,N/A,N/A,N/A,33.30%,33.30%
California College San DiegoCalifornia | Special-Focus,14,42.90%,7.10%,14.30%,35.70%,N/A,N/A,N/A,N/A,N/A,57.10%,50.00%
California Institute of Integral StudiesCalifornia | Doctoral,56,73.20%,3.60%,10.70%,3.60%,N/A,1.80%,1.80%,N/A,5.40%,25.00%,46.40%
California Institute of TechnologyCalifornia | Doctoral,312,77.90%,1.90%,3.50%,11.20%,N/A,N/A,N/A,N/A,5.50%,22.10%,20.50%
California Institute of the ArtsCalifornia | Special-Focus,151,80.10%,7.30%,4.00%,7.30%,N/A,N/A,N/A,N/A,1.30%,19.90%,41.10%
California Lutheran U.California | Master's,167,77.30%,3.00%,7.80%,7.80%,N/A,N/A,1.20%,N/A,3.00%,21.60%,45.50%
California Polytechnic State U. at San Luis ObispoCalifornia | Master's,751,76.30%,1.50%,5.50%,8.40%,0.30%,0.10%,1.20%,4.80%,2.00%,17.40%,34.00%
California State Polytechnic U. at PomonaCalifornia | Master's,517,56.10%,2.30%,8.50%,22.20%,0.40%,0.40%,0.40%,4.50%,5.20%,38.70%,40.20%
California State U-StanislausCalifornia | Master's,277,67.50%,2.50%,8.70%,12.30%,0.70%,N/A,0.40%,5.40%,2.50%,26.00%,44.80%
California State U. at BakersfieldCalifornia | Master's,252,64.70%,4.00%,12.30%,11.10%,N/A,0.80%,1.20%,2.80%,3.20%,31.40%,51.20%
California State U. at ChicoCalifornia | Master's,480,81.50%,1.30%,3.50%,7.90%,0.40%,N/A,0.60%,3.80%,1.00%,13.80%,41.00%
California State U. at FresnoCalifornia | Master's,657,65.80%,4.10%,10.70%,13.10%,0.10%,N/A,1.10%,2.30%,2.90%,30.80%,43.10%
California State U. at FullertonCalifornia | Master's,893,67.30%,3.30%,7.70%,17.00%,N/A,0.30%,N/A,0.20%,4.10%,32.50%,49.30%
California State U. at Long BeachCalifornia | Master's,954,64.70%,3.10%,8.30%,17.60%,0.40%,N/A,0.70%,3.30%,1.90%,30.90%,47.10%
California State U. at Los AngelesCalifornia | Master's,563,49.90%,4.60%,16.00%,21.90%,0.50%,0.20%,0.70%,4.10%,2.10%,44.80%,49.70%
California State U. at NorthridgeCalifornia | Master's,896,63.30%,5.10%,11.80%,14.10%,0.70%,N/A,1.00%,1.80%,2.20%,33.30%,49.20%
California State U. at SacramentoCalifornia | Master's,667,68.10%,4.00%,7.30%,13.60%,0.90%,0.10%,0.80%,2.90%,2.30%,27.40%,46.60%
California State U. at San BernardinoCalifornia | Master's,436,64.90%,4.80%,9.60%,14.70%,0.50%,0.20%,0.20%,3.70%,1.40%,30.70%,46.60%
California State U. at San MarcosCalifornia | Master's,296,62.80%,2.40%,15.20%,11.20%,1.00%,0.30%,1.00%,3.70%,2.40%,31.40%,58.10%
California State U.-Channel IslandsCalifornia | Master's,165,69.10%,1.80%,15.80%,6.70%,N/A,N/A,2.40%,3.00%,1.20%,25.40%,49.70%
California State U.-Dominguez HillsCalifornia | Master's,290,59.30%,8.60%,10.70%,13.50%,1.00%,N/A,1.00%,5.20%,0.70%,33.50%,54.10%
California State U.-East BayCalifornia | Master's,311,55.30%,6.40%,10.00%,16.40%,1.00%,1.00%,N/A,5.50%,4.50%,38.30%,49.50%
California State U.-Monterey BayCalifornia | Master's,170,54.70%,4.10%,17.10%,15.30%,1.20%,0.60%,N/A,5.90%,1.20%,38.20%,56.50%
California U. of Management and SciencesCalifornia | Unclassified,4,25.00%,N/A,25.00%,50.00%,N/A,N/A,N/A,N/A,N/A,75.00%,50.00%
California Western School of LawCalifornia | Special-Focus,43,88.40%,4.70%,2.30%,4.70%,N/A,N/A,N/A,N/A,N/A,11.60%,41.90%
Cambridge Junior CollegeCalifornia | Associate,4,25.00%,N/A,50.00%,25.00%,N/A,N/A,N/A,N/A,N/A,75.00%,100.00%
Canada CollegeCalifornia | Associate,75,56.00%,5.30%,16.00%,13.30%,N/A,N/A,N/A,9.30%,N/A,34.70%,64.00%
Carrington College California at Citrus Heights (Calif.)California | Associate,9,66.70%,11.10%,N/A,N/A,N/A,N/A,N/A,22.20%,N/A,11.10%,100.00%
Carrington College California at Pleasant Hill (Calif.)California | Associate,21,61.90%,9.50%,4.80%,9.50%,N/A,N/A,N/A,14.30%,N/A,23.80%,85.70%
Carrington College California at Pomona (Calif.)California | Unclassified,11,72.70%,N/A,27.30%,N/A,N/A,N/A,N/A,N/A,N/A,27.30%,81.80%
Carrington College California at SacramentoCalifornia | Associate,27,63.00%,11.10%,7.40%,3.70%,N/A,N/A,7.40%,7.40%,N/A,22.20%,81.50%
Carrington College California at San Jose (Calif.)California | Associate,20,75.00%,5.00%,N/A,10.00%,N/A,N/A,5.00%,5.00%,N/A,15.00%,90.00%
